2019-05-26 18:16:05,862 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-05-26 18:16:05,893 [     31]   INFO -        #com.intellij.idea.Main - IDE: WebStorm (build #WS-191.6707.60, 16 Apr 2019 20:18) 
2019-05-26 18:16:05,893 [     31]   INFO -        #com.intellij.idea.Main - OS: Linux (4.13.0-46-generic, amd64) 
2019-05-26 18:16:05,893 [     31]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_202-release-1483-b44 (JetBrains s.r.o) 
2019-05-26 18:16:05,893 [     31]   INFO -        #com.intellij.idea.Main - JVM: 25.202-b44 (OpenJDK 64-Bit Server VM) 
2019-05-26 18:16:05,895 [     33]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -XX:ErrorFile=/home/sarthak/java_error_in_WEBIDE_%p.log -XX:HeapDumpPath=/home/sarthak/java_error_in_WEBIDE.hprof -Didea.paths.selector=WebStorm2019.1 -Djb.vmOptionsFile=/home/sarthak/IDE/webstorm/bin/webstorm64.vmoptions -Didea.platform.prefix=WebStorm 
2019-05-26 18:16:05,895 [     33]   INFO -        #com.intellij.idea.Main - ext: /home/sarthak/IDE/webstorm/jre64/lib/ext: [dnsns.jar, sunjce_provider.jar, sunec.jar, zipfs.jar, cldrdata.jar, nashorn.jar, jaccess.jar, meta-index, sunpkcs11.jar, localedata.jar, jfxrt.jar] 
2019-05-26 18:16:05,895 [     33]   INFO -        #com.intellij.idea.Main - charsets: JNU=UTF-8 file=UTF-8 
2019-05-26 18:16:05,909 [     47]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 14 ms 
2019-05-26 18:16:06,343 [    481]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (IDE-managed HiDPI) 
2019-05-26 18:16:06,343 [    481]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-05-26 18:16:10,891 [   5029]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-properties-support.xml 
2019-05-26 18:16:10,891 [   5029]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-java-support.xml 
2019-05-26 18:16:11,000 [   5138]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor js-nashorn-support.xml 
2019-05-26 18:16:11,014 [   5152]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor javaee-specific.xml 
2019-05-26 18:16:11,014 [   5152]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor java-specific.xml 
2019-05-26 18:16:11,156 [   5294]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 340 ms 
2019-05-26 18:16:11,415 [   5553]   INFO - .intellij.idea.IdeaApplication - CPU cores: 4; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@4701f242[Running, parallelism = 3, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@2bf6d40f 
2019-05-26 18:16:11,448 [   5586]   INFO - .intellij.idea.IdeaApplication - WM detected: GNOME Shell 
2019-05-26 18:16:11,619 [   5757]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-properties-support.xml 
2019-05-26 18:16:11,619 [   5757]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-java-support.xml 
2019-05-26 18:16:11,624 [   5762]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor js-nashorn-support.xml 
2019-05-26 18:16:11,635 [   5773]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor javaee-specific.xml 
2019-05-26 18:16:11,636 [   5774]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor java-specific.xml 
2019-05-26 18:16:11,826 [   5964]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 239 ms 
2019-05-26 18:16:11,840 [   5978]   INFO - llij.ide.plugins.PluginManager - Plugin 'IntelliJ Configuration Script' can't be loaded because: Plugin does not include any module dependency tags in its plugin.xml therefore is assumed legacy and can be loaded only in IntelliJ IDEA 
2019-05-26 18:16:11,933 [   6071]   INFO - llij.ide.plugins.PluginManager - 59 plugins initialized in 346 ms 
2019-05-26 18:16:11,933 [   6071]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: ASP (191.6707.60), AngularJS (191.6707.60), CSS Support (191.6707.60), CoffeeScript (191.6707.60), Copyright (191.6707.60), Cucumber.js (191.6707.60), Dart (191.6707.60), Docker integration (191.6707.60), EJS (191.6707.60), EditorConfig (191.6707.60), File Watchers (191.6707.60), Gherkin (191.6707.60), Git Integration (191.6707.60), GitHub (191.6707.60), HTML Tools (191.6707.60), HTTP Client (191.6707.60), Haml (191.6707.60), Handlebars/Mustache (191.6707.60), IDE Settings Sync (191.6707.60), IDEA CORE (191.6707.60), IntelliLang (191.6707.60), Java Server Pages (JSP) Integration (191.6707.60), JavaScript Debugger (191.6707.60), JavaScript Intention Power Pack (191.6707.60), JavaScript Support (191.6707.60), Karma (191.6707.60), Less support (191.6707.60), LiveEdit (191.6707.60), Markdown support (191.6707.60), Mercurial Integration (191.6707.60), Meteor (191.6707.60), Node.js Remote Interpreter (191.6707.60), NodeJS (191.6707.60), Performance Testing (191.6707.60), PhoneGap/Cordova Plugin (191.6707.60), Polymer & Web Components (191.6707.60), Prettier (191.6707.60), Pug (ex-Jade) (191.6707.60), Refactor-X (191.6707.60), Remote Hosts Access (191.6707.60), SSH Remote Run (191.6707.60), Sass support (191.6707.60), Settings Repository (191.6707.60), Spy-js (191.6707.60), Stylus support (191.6707.60), Subversion (191.6707.60), Task Management (191.6707.60), Terminal (191.6707.60), TextMate bundles support (191.6707.60), Time Tracking (191.6707.60), UML Support (191.6707.60), Vagrant (191.6707.60), Vue.js (191.6707.60), W3C Validators (191.6707.60), XPathView + XSLT Support (191.6707.60), YAML (191.6707.60), Yeoman (191.6707.60), tslint (191.6707.60) 
2019-05-26 18:16:11,933 [   6071]   INFO - llij.ide.plugins.PluginManager - Disabled plugins: IntelliJ Configuration Script (191.6707.60) 
2019-05-26 18:16:12,241 [   6379]   INFO - cloudConfig.CloudConfigManager - === Exit: JBA_NOT_FOUND === 
2019-05-26 18:16:12,322 [   6460]   INFO - pi.util.registry.RegistryState - Registry values changed by user: 
2019-05-26 18:16:12,322 [   6460]   INFO - pi.util.registry.RegistryState -   ide.tooltip.show.with.actions = true 
2019-05-26 18:16:12,353 [   6491]   INFO - pi.util.registry.RegistryState - Experimental features enabled for user: inline.browse.button, linux.native.menu, recent.and.edited.files.together 
